John Tyndall
Leomer Ayleward
Semer Wilson
Daniel Bacon
Arthur Salter
Roger Geddyng
Julian Bernewelt
Oliver Brown
Warin Cossale
Waldo Sacheverell
Joan Plymmyswoode
Joyce Boote
Bridget Elmebrigge
Preciosa Joulon
Jenefer Lyttleburye
Denise Salford
Mabel Bedgbery
Mathilda Parret
Christian Tregonwell
Engelise Warren
Michael Oken
Diggory Mareys
Edward Bulkeley
Jordan Holt
Brian Noke
Wulfgeat Fenton
Elric Harpeden
Griffin Esmund
Thori Beaurepaire
Thomas Furnace
Clemence Grey
Gillian Bedgbery
Bricteva Berney
Emma Greenway
Amy Feversham
Winifred Amondesham
Philippa Blundell
Nota Wadham
Stanilde Roberts
Idonea Wylcotes
Harald Dygenys
Solomon Whitewood
Jordan Walkden
Tedric Ermyn
Mathias Blenerhayset
Miles Beton
Daniel More
Cornelius Prophete
Eustace Alington
Bertram Garneys
